industry_news_scrap_id,created_date,last_modified_date,industry_news_scrap_content,member_id,news_id,news_type,industry_news_scrap_title
2,2024-10-10,2024-10-10,"<p><strong>뉴스 요약</strong><br>
중국 주요 주가지수들이 9일 7% 넘게 폭락하며, CSI 300 지수는 7.05% 하락해 10거래일 연속 상승세를 마감했다. 이는 국경절 연휴 이후 기대됐던경기부양책에 대한 실망감이 커지면서 나타난 현상으로, 국가발전개혁위원회가 추가적인 부양책을 구체적으로제시하지 않은 것이 시장에 부정적인 영향을 미쳤다. 또한, 연휴기간 관광객 수는 증가했으나 1인당 지출이 코로나19 이전수준을 회복하지 못한 점도 악재로 작용했다. 홍콩 H지수와항셍지수 역시 반등하지 못하고 하락세를 이어갔다. <strong><br>
 <br>
뉴스를 읽고 느낀 점</strong><del><br>
주호는 뉴스를 읽고 사랑의 하츄핑이 보고 싶어졌다. 시진핑은 몇기에 나오는 핑일까?</del></p>
<p>중국 경제는 우리나라 경제에도 영향을 끼친다고 들었는데 우리나라 주가는 떨어졌을까? 뉴스톡에서 알려줬으면 좋겠다. 또, 중국이랑 미국이랑 사이가 안좋은데 중국 주가가 떨어지면 미국 주가는 오르는 걸까? 뉴스톡 AI 챗봇에 물어봐야겠다.</p>
<p><br></p>
<p><strong>모르는 단어</strong><br>
홍콩 H지수(Hang Seng China Enterprises Index, HSCEI)는 홍콩 증권거래소에 상장된 중국 본토 기업들의 주가를 반영하는 주요 주가지수입니다. 주로 국유기업과 대형 민간 기업들이 포함되며, 중국 경제와 밀접한 연관이 있는 기업들로 구성되어 있습니다. H지수는 중국 본토와 홍콩 증시의 연결고리 역할을 하며, 중국 경제의 동향을 반영하는 중요한 지표로 활용됩니다.<br>
 <br>
항셍지수(Hang Seng Index, HSI)는 홍콩 증권거래소에 상장된 주요 기업들의주가를 반영하는 대표적인 주가지수입니다. 홍콩 경제를 대표하는 50여개의 대형 기업으로 구성되며, 금융, 부동산, 산업, 기술 등 다양한 업종을 포함합니다. 항셍지수는 홍콩 증시의 전반적인 시장 흐름을 나타내는 지표로, 아시아 금융시장에서 중요한 역할을 합니다.</p>
<p>국가발전개혁위원회(国家发展和改革委员会, NDRC)는 중국의 경제 정책을 총괄하는 중앙 정부 기관으로, 주로 경제 계획 수립, 정책 조정, 그리고 개혁 추진을 담당합니다. 국가의 경제 발전 전략, 산업 정책, 가격 관리, 자원 배분 등을 감독하며, 특히 경제 성장 목표와 주요 산업의 발전 방향을 설정합니다. 중국경제의 구조적인 문제 해결과 지속 가능한 발전을 도모하는 핵심 부처로, 경기 부양책이나 규제 정책을 발표할 때 시장에 큰 영향을 미칩니다.</p>",10,20241009183539306,industry,"주호의 스크랩(중국의 주가지수 관련)"
3,2024-10-10,2024-10-10,"<p>캄보디아 떡상중?</p>
<p>캄보디아로 이민갈가?</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>
<p>캄보디아로 이민갈가?&nbsp;</p>",4,20241009234354309,industry,"고민호의 스크랩"
4,2024-10-10,2024-10-10,"<p>asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffffasdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff asdffffffffff&nbsp;</p>",1,20241009234354309,industry,asdf
5,2024-10-10,2024-10-10,"<p><strong>뉴스 요약</strong></p>
<p>테슬라는 3분기 중국에서 249,135대를 판매하며 역대 최고 기록을 경신했다. 9월 판매량은 88,321대로 전년 동기 대비 19.2% 증가했다. 중국 정부의 전기차 교체 보조금 정책이 3분기 판매 증가에 기여한 것으로 분석된다. 그러나 테슬라의 3분기 글로벌 인도량은 462,890대로 예상치에 조금 못 미쳤다. 한편, 경쟁사 BYD는 9월에 417,603대를 판매하며 월간 최고 기록을 달성했다.&nbsp;</p>
<p><br>
느낀점</p>
<p>테슬라? 사고싶다. 249,135대 중 내 차는 왜 없을까? 궁금하다. 뉴스톡 AI 챗봇에 물어보면 알려주나? 궁금하다. 사실 테슬라 말고 EV6가 더 멋있는거 같은데 주호는 차 살 돈이 없다. 아쉽게 됬다.<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
</p>",10,20241009223401925,industry,"이주호 세 번째 스크랩(전기차 사고 싶다)"
6,2024-10-10,2024-10-10,"<p>북한 뭐임??</p>",22,20241009224827981,industry,스크랩
7,2024-10-10,2024-10-10,<p>w작성</p>,26,20241009093351130,industry,ㅇ
8,2024-10-10,2024-10-10,<p>내용</p>,26,20241009093351130,industry,ㅈ[목
9,2024-10-10,2024-10-10,"<p>네이버 상세페이지로 이동&nbsp;</p>",30,20241009182520029,industry,"나만의 뉴스"
10,2024-10-10,2024-10-10,<p>🤑ㄴㅇㄴㅁ</p>,19,20241009235842394,industry,와우
11,2024-10-10,2024-10-10,<p>ㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇ</p>,10,20241009194033321,industry,ㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴ
